0x2d62	0x2116	# áÇ
0x7c6e	0x9ed1	# ÓÏ

0x7a46	0xf929	# Ìƒ
0x7c4f	0xf9dc	# ÓÕ
0x7954	0xfa0e	# Ìs
0x795f	0xfa0f	# Ì~
0x7960	0xfa10	# ÌÄ
0x7975	0xfa11	# Ìï
0x7a3e	0xfa12	# Ìº
0x7a4e	0xfa13	# ÌÃ
0x7a50	0xfa14	# ÌŒ
0x7a7b	0xfa15	# Ì˘
0x7b23	0xfa16	# ÓB
0x7b3a	0xfa17	# ÓY
0x7b42	0xfa18	# Óa
0x7b43	0xfa19	# Ób
0x7b44	0xfa1a	# Óc
0x7b46	0xfa1b	# Óe
0x7b4a	0xfa1c	# Ói
0x7b4d	0xfa1d	# Ól
0x7b56	0xfa1e	# Óu
0x7b61	0xfa1f	# ÓÅ
0x7b63	0xfa20	# ÓÉ
0x7b64	0xfa21	# ÓÑ
0x7b6d	0xfa22	# Óç
0x7b75	0xfa23	# Óï
0x7b77	0xfa24	# Óó
0x7b78	0xfa25	# Óò
0x7b7b	0xfa26	# Óõ
0x7c39	0xfa27	# Ó∑
0x7c40	0xfa28	# Óæ
0x7c50	0xfa29	# ÓŒ
0x7c5c	0xfa2a	# Ó⁄
0x7c5d	0xfa2b	# Ó€
0x7c5f	0xfa2c	# Ó›
0x7c6c	0xfa2d	# ÓÍ
0x7c7e	0xff02	# Ó¸
0x7c7d	0xff07	# Ó˚
0x215d	0xff0d	# Å|
0x2140	0xff3c	# Å_
0x2141	0xff5e	# Å`
0x2171	0xffe0	# Åë
0x2172	0xffe1	# Åí
0x224c	0xffe2	# Å 
0x7c7b	0xffe2	# Ó˘
0x7c7c	0xffe4	# Ó˙
